INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
229643180,6/16/2021,21:34:00,BROOKLYN,73,0,,FALSE,,,,25-44,M,BLACK,1006621,185426,40.67560824,-73.91935099
233147632,9/3/2021,16:28:00,BRONX,43,0,,FALSE,,,,18-24,F,BLACK,1022465,242774,40.8329595,-73.86190539
231637053,7/31/2021,22:36:00,QUEENS,115,0,,FALSE,,,,18-24,M,WHITE HISPANIC,1020765,213373,40.75226897,-73.86820845
238041594,12/17/2021,12:00:00,BRONX,50,0,,FALSE,,,,25-44,M,BLACK,1010914,260940,40.88286213,-73.90357449
228798560,5/27/2021,22:50:00,QUEENS,103,0,,FALSE,18-24,M,BLACK,25-44,M,BLACK,1037559,194576,40.70059059,-73.8077432
226542151,4/5/2021,23:15:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,TRUE,45-64,M,BLACK,<18,F,BLACK,1010363,182581,40.66778911,-73.9058716
230508668,7/6/2021,13:54:00,QUEENS,105,0,GROCERY/BODEGA,FALSE,18-24,F,BLACK,25-44,M,ASIAN / PACIFIC ISLANDER,1053360,197113,40.70744474,-73.75073133
227221321,4/21/2021,16:30:00,BRONX,41,0,,TRUE,45-64,M,BLACK,45-64,M,BLACK,1014791,239916,40.82514498,-73.8896496
227647477,5/2/2021,20:24:00,BROOKLYN,81,0,,TRUE,45-64,M,BLACK,45-64,M,BLACK,1004546,189469,40.68671035,-73.92681946
232188180,8/12/2021,14:00:00,QUEENS,103,0,GROCERY/BODEGA,FALSE,65+,M,BLACK,45-64,M,BLACK HISPANIC,1036890,196410,40.70562848,-73.8101416
224412024,2/15/2021,7:10:00,BRONX,48,0,GAS STATION,FALSE,<18,M,BLACK HISPANIC,45-64,M,BLACK HISPANIC,1011588,247981,40.84729156,-73.90118992
228679850,5/25/2021,20:20:00,BRONX,42,0,,FALSE,18-24,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1013758,241114,40.82843666,-73.8933768
226203718,3/27/2021,2:23:00,BRONX,52,0,,FALSE,,,,25-44,F,WHITE HISPANIC,1018052,257046,40.87214986,-73.8777805
228262995,5/15/2021,21:07:00,BRONX,44,0,,FALSE,18-24,M,WHITE HISPANIC,<18,M,WHITE HISPANIC,1010688,245851,40.84144808,-73.90445131
